Consecutivo;Tipo_entidad;Codigo_Entidad;Fecha_Corte;  Area;Tipo_Informe;CIDT        ;Codigo_Formato;Codigo_Clase;Codigo_Grupo;Codigo_Cuenta;Cod_SubCuenta;COL0                ;COL1                ;COL2
         43;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;           15;           48;48091917.00         ;74872.00            ;48017045.00
        544;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;           44;2473635.00          ;2473635.00          ;?
        801;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           62;45182242.96         ;45182242.96         ;?
        260;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           86;           16;519021.00           ;519021.00           ;?
        903;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           54;17149498875.56      ;17149498875.56      ;?
         22;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           4;           14;            5;113763130919.56     ;113763130919.56     ;?
        908;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;           42;816804229.61        ;816804229.61        ;?
        206;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           45;           35;448546.00           ;448546.00           ;?
        100;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;            3;           20;690693111.00        ;690693111.00        ;?
        354;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;            2;34264602915.00      ;33411487010.00      ;853115905.00
          4;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;            7;            0;57046899.26         ;57046899.26         ;?
        610;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           66;313285860.58        ;313285860.58        ;?
        727;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           4;           88;           60;95262143.95         ;95262143.95         ;?
        491;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           34;83143211.45         ;83143211.45         ;?
        634;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           9;           11;           65;28935011083.04      ;?                   ;28935011083.04
        508;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           97;           70;6594649.41          ;6594649.41          ;?
        823;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           8;            1;           64;3457222519.51       ;3457222519.51       ;?
         90;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           92;           30;24080.98            ;24080.98            ;?
         47;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           2;           25;           10;408849735096.05     ;408849735096.05     ;?
        124;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           81;           26;19128999.00         ;19128999.00         ;?
        555;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;           15;           56;1948666730.10       ;1948666730.10       ;?
